page,card_index,year,date,title,paper_type,landing_page_url,open_access_marker,clinical_filter,screen_status,screen_reasons
1,16,2026,2026-06-04,A socially assistive robot to support mental wellbeing in LGBTQ+ young people at risk of self-harm: a randomized controlled trial,Article,https://www.nature.com/articles/s41591-026-04422-6,yes,matched_token:randomized,eligible,
1,17,2026,2026-06-04,AAV gene therapy for homozygous familial hypercholesterolemia: a phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04441-3,no,matched_token:therapy,excluded,no_publisher_open_access_marker
1,18,2026,2026-06-04,Spinal cord stimulation for upper limb motor function in people with chronic post-stroke hemiparesis: a feasibility trial,Article,https://www.nature.com/articles/s41591-026-04435-1,yes,matched_token:people with,eligible,
1,19,2026,2026-06-04,Human microglial transitions at the Aβ–tau inflection point associate with divergent pathways to dementia and resilience,Article,https://www.nature.com/articles/s41591-026-04393-8,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
1,20,2026,2026-06-03,Reply to: Limited evidence of AI superiority in seasonal influenza vaccine strain selection,Matters Arising,https://www.nature.com/articles/s41591-026-04460-0,no,matched_token:vaccine,excluded,not_article_type;no_publisher_open_access_marker
2,1,2026,2026-06-03,Limited evidence of AI superiority in seasonal influenza vaccine strain selection,Matters Arising,https://www.nature.com/articles/s41591-026-04461-z,no,matched_token:vaccine,excluded,not_article_type;no_publisher_open_access_marker
2,2,2026,2026-06-03,Assessing quality of childbirth care provided by skilled health personnel in Exemplar countries,Article,https://www.nature.com/articles/s41591-026-04381-y,no,no_predeclared_human_clinical_evidence_token,excluded,no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
2,3,2026,2026-06-02,15-strain live biotherapeutic product or same donor fecal microbiota transplant for recurrent Clostridioides difficile infection: a randomized phase 1b trial,Article,https://www.nature.com/articles/s41591-026-04442-2,no,matched_token:randomized,excluded,no_publisher_open_access_marker
2,4,2026,2026-06-02,Medically tailored meals receipt and healthcare utilization and costs in Massachusetts’ Medicaid demonstration,Article,https://www.nature.com/articles/s41591-026-04407-5,yes,matched_token:healthcare,eligible,
2,5,2026,2026-06-01,Tumor-targeted interferon-α gene therapy for glioblastoma: a phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04419-1,no,matched_token:therapy,excluded,no_publisher_open_access_marker
2,6,2026,2026-06-01,Savolitinib in MET -amplified gastric or gastroesophageal junction adenocarcinoma: a phase 2 trial,Article,https://www.nature.com/articles/s41591-026-04459-7,no,matched_token:phase 2,excluded,no_publisher_open_access_marker
2,7,2026,2026-06-01,SEZ6-targeting antibody−drug conjugate ABBV-706 in advanced small cell lung cancer and solid tumors: a phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04452-0,yes,matched_token:phase 1,eligible,
2,8,2026,2026-05-31,MAGE-A4/MAGE-A8-targeted TCR-based bispecific T cell engager in recurrent and/or refractory solid tumors: a phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04455-x,yes,matched_token:phase 1,eligible,
2,9,2026,2026-05-26,Fibroblast growth factor receptor inhibition for succinate dehydrogenase-deficient gastrointestinal stromal tumors: a phase 2 trial,Article,https://www.nature.com/articles/s41591-026-04376-9,yes,matched_token:phase 2,eligible,
2,10,2026,2026-05-22,"Semaglutide versus placebo in individuals with poor weight loss after bariatric surgery: a double-blinded, randomized, placebo-controlled trial",Article,https://www.nature.com/articles/s41591-026-04416-4,yes,matched_token:randomized,eligible,
2,11,2026,2026-05-20,Pathogenic germline variations and cancer risks in pediatric patients referred for genetic testing,Article,https://www.nature.com/articles/s41591-026-04423-5,yes,matched_token:patients,eligible,
2,12,2026,2026-05-19,A multimodal biomarker strategy to enhance diagnostic precision in neurodegenerative parkinsonism,Article,https://www.nature.com/articles/s41591-026-04398-3,no,matched_token:cohort,excluded,no_publisher_open_access_marker
2,13,2026,2026-05-15,"Favipiravir for Lassa fever: an open-label, randomized controlled phase 2 trial",Article,https://www.nature.com/articles/s41591-026-04402-w,yes,matched_token:randomized,eligible,
2,14,2026,2026-05-15,Population-scale genomic medicine with the Hong Kong Genome Project,Article,https://www.nature.com/articles/s41591-026-04410-w,yes,matched_token:population,eligible,
2,15,2026,2026-05-14,Advancing conversational diagnostic AI with multimodal reasoning,Article,https://www.nature.com/articles/s41591-026-04371-0,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
2,16,2026,2026-05-14,Performance of traumatic encephalopathy syndrome criteria in identifying individuals with chronic traumatic encephalopathy,Article,https://www.nature.com/articles/s41591-026-04392-9,no,matched_token:clinical,excluded,no_publisher_open_access_marker
2,17,2026,2026-05-14,Abatacept versus hydroxychloroquine for prevention of rheumatoid arthritis in individuals with palindromic rheumatism: a randomized open-label trial,Article,https://www.nature.com/articles/s41591-026-04395-6,yes,matched_token:randomized,eligible,
2,18,2026,2026-05-13,Pasteurized Akkermansia muciniphila Muc T for weight loss maintenance in people with overweight and obesity: a controlled randomized trial,Article,https://www.nature.com/articles/s41591-026-04394-7,no,matched_token:people with,excluded,no_publisher_open_access_marker
2,19,2026,2026-05-13,"Orforglipron for maintenance of body weight reduction: the double-blind, randomized phase 3b ATTAIN-MAINTAIN trial",Article,https://www.nature.com/articles/s41591-026-04386-7,yes,matched_token:randomized,eligible,
2,20,2026,2026-05-12,Genomic epidemiology of the 2025 mpox epidemic in Sierra Leone,Article,https://www.nature.com/articles/s41591-026-04385-8,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
3,1,2026,2026-05-12,CRISPR−Cas9 CD33-deleted allogeneic hematopoietic cell transplantation with gemtuzumab ozogamicin maintenance in AML: a phase 1/2 trial,Article,https://www.nature.com/articles/s41591-026-04362-1,yes,matched_token:phase 1,eligible,
3,2,2026,2026-05-10,Low-dose digoxin in patients with heart failure with reduced or mildly reduced ejection fraction: a randomized controlled trial,Article,https://www.nature.com/articles/s41591-026-04406-6,yes,matched_token:patients,eligible,
3,3,2026,2026-05-10,The microRNA inhibitor CDR132L in patients with reduced left ventricular ejection fraction after myocardial infarction: a randomized phase 2 trial,Article,https://www.nature.com/articles/s41591-026-04408-4,yes,matched_token:patients,eligible,
3,4,2026,2026-05-05,Multinational validation of the PREVENT and SCORE2 cardiovascular risk equations across 6.4 million individuals,Article,https://www.nature.com/articles/s41591-026-04437-z,yes,matched_token:randomized,eligible,
3,5,2026,2026-04-30,Data-driven prioritization of high-risk individuals for weight loss interventions,Article,https://www.nature.com/articles/s41591-026-04353-2,yes,matched_token:clinical,eligible,
3,6,2026,2026-04-29,Predicting referral need for febrile children in low-resource community settings in South and Southeast Asia,Article,https://www.nature.com/articles/s41591-026-04338-1,yes,matched_token:children,eligible,
3,7,2026,2026-04-29,Low-dose oral nicotinamide mononucleotide for immune thrombocytopenia: a phase 1/2 trial,Article,https://www.nature.com/articles/s41591-026-04366-x,no,matched_token:phase 1,excluded,no_publisher_open_access_marker
3,8,2026,2026-04-29,An agentic framework for autonomous scientific discovery in cancer pathology,Article,https://www.nature.com/articles/s41591-026-04357-y,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
3,9,2026,2026-04-28,AI framework for multidisease detection via retinal imaging,Article,https://www.nature.com/articles/s41591-026-04359-w,yes,matched_token:trial,eligible,
3,10,2026,2026-04-27,Targeted removal of soluble Fms-like tyrosine kinase 1 in very preterm preeclampsia: a pilot trial,Article,https://www.nature.com/articles/s41591-026-04333-6,no,matched_token:trial,excluded,no_publisher_open_access_marker
3,11,2026,2026-04-27,The All of Us Research Program’s wearables dataset,Resource,https://www.nature.com/articles/s41591-026-04352-3,yes,matched_token:participants,excluded,not_article_type
3,12,2026,2026-04-24,Targeted therapies plus radiotherapy for diffuse intrinsic pontine glioma: the randomized phase 2 BIOMEDE trial,Article,https://www.nature.com/articles/s41591-026-04354-1,yes,matched_token:randomized,eligible,
3,13,2026,2026-04-24,Cross-reactive anti-prophage antibodies and bacterial heteroresistance implicated in phage therapeutic failure,Article,https://www.nature.com/articles/s41591-026-04301-0,no,matched_token:therapeutic,excluded,no_publisher_open_access_marker
3,14,2026,2026-04-21,Epigenetic fingerprints link early-onset colon and rectal cancer to pesticide exposure,Article,https://www.nature.com/articles/s41591-026-04342-5,yes,matched_token:patients,eligible,
3,15,2026,2026-04-21,Low-plastic diet and urinary levels of plastic-associated phthalates and bisphenols: the randomized controlled PERTH Trial,Article,https://www.nature.com/articles/s41591-026-04324-7,yes,matched_token:randomized,eligible,
3,16,2026,2026-04-21,A sustainable house design to improve child health in rural Africa: a cluster-randomized controlled trial,Article,https://www.nature.com/articles/s41591-026-04367-w,yes,matched_token:randomized,eligible,
3,17,2026,2026-04-21,Citywide premarital genomic screening in a Middle Eastern population,Article,https://www.nature.com/articles/s41591-026-04251-7,yes,matched_token:screening,eligible,
3,18,2026,2026-04-20,Cibisatamab and FAP-4-1BBL in microsatellite-stable colorectal cancer: a phase 1b trial,Article,https://www.nature.com/articles/s41591-026-04380-z,yes,matched_token:trial,eligible,
3,19,2026,2026-04-20,Microbiome signature of Parkinson’s disease in healthy and genetically at-risk individuals,Article,https://www.nature.com/articles/s41591-026-04318-5,yes,matched_token:patients,eligible,
3,20,2026,2026-04-20,Ciltacabtagene autoleucel in high-risk smoldering multiple myeloma: the CAR-PRISM phase 2 trial,Article,https://www.nature.com/articles/s41591-026-04365-y,yes,matched_token:phase 2,eligible,
4,1,2026,2026-04-16,Trabectedin and low-dose irinotecan to target EWS::FLI1 in Ewing sarcoma: a phase 1/2 trial,Article,https://www.nature.com/articles/s41591-026-04340-7,no,matched_token:phase 1,excluded,no_publisher_open_access_marker
4,2,2026,2026-04-16,Integrated epidemiological and molecular data inform the relationship between precancer and cancer states of esophageal adenocarcinoma,Article,https://www.nature.com/articles/s41591-026-04331-8,yes,matched_token:clinical,eligible,
4,3,2026,2026-04-15,Rapid expansion of genotype D1.1 A(H5N1) influenza viruses in wild birds across North America during the 2024 migratory season,Brief Communication,https://www.nature.com/articles/s41591-026-04300-1,yes,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_predeclared_human_clinical_evidence_token
4,4,2026,2026-04-15,An acetylated Tau-174 CSF biomarker discriminates between TDP-43 and tau pathology in patients with frontotemporal lobar degeneration,Article,https://www.nature.com/articles/s41591-026-04341-6,yes,matched_token:patients,eligible,
4,5,2026,2026-04-15,Proteomic risk score for early prediction of kidney disease progression in individuals with APOL1 high-risk genotypes,Article,https://www.nature.com/articles/s41591-026-04337-2,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
4,6,2026,2026-04-14,Antisense oligonucleotide-mediated knockdown therapy in two infants with severe KCNT1 epileptic encephalopathy,Article,https://www.nature.com/articles/s41591-026-04314-9,yes,matched_token:therapy,eligible,
4,7,2026,2026-04-14,Intravitreal photoswitch therapy in advanced retinitis pigmentosa: a phase 1 open-label trial,Article,https://www.nature.com/articles/s41591-026-04317-6,yes,matched_token:therapy,eligible,
4,8,2026,2026-04-14,Elraglusib and chemotherapy in metastatic pancreatic ductal adenocarcinoma: a randomized controlled phase 2 trial,Article,https://www.nature.com/articles/s41591-026-04327-4,yes,matched_token:randomized,eligible,
4,9,2026,2026-04-13,Plasma proteomic signature of the human menstrual cycle,Resource,https://www.nature.com/articles/s41591-026-04326-5,yes,matched_token:biobank,excluded,not_article_type
4,10,2026,2026-04-07,Zodasiran for cholesterol and triglyceride lowering in patients with hyperlipidemia: final report of phase 1 basket trial,Article,https://www.nature.com/articles/s41591-026-04307-8,no,matched_token:patients,excluded,no_publisher_open_access_marker
4,11,2026,2026-04-06,"Isatuximab, carfilzomib, lenalidomide and dexamethasone in newly diagnosed multiple myeloma: a randomized phase 3 trial",Article,https://www.nature.com/articles/s41591-026-04282-0,yes,matched_token:randomized,eligible,
4,12,2026,2026-04-06,An international mega-analysis of psychedelic drug effects on brain circuit function,Article,https://www.nature.com/articles/s41591-026-04287-9,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
4,13,2026,2026-04-03,"Evidence of monkeypox virus clade IIb lineage A.2.2 in the Republic of the Congo and co-circulation of clade Ia, Ib and clade IIb",Brief Communication,https://www.nature.com/articles/s41591-026-04256-2,yes,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_predeclared_human_clinical_evidence_token
4,14,2026,2026-04-03,The exposome of brain aging across 34 countries,Article,https://www.nature.com/articles/s41591-026-04302-z,no,no_predeclared_human_clinical_evidence_token,excluded,no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
4,15,2026,2026-04-02,Semaglutide on liver fibrosis and heart outcomes in patients at high risk of liver fibrosis: a prespecified analysis of the SELECT randomized trial,Article,https://www.nature.com/articles/s41591-026-04281-1,yes,matched_token:outcomes,eligible,
4,16,2026,2026-03-31,A deep joint-learning proteomics model for diagnosis of six conditions associated with dementia,Article,https://www.nature.com/articles/s41591-026-04303-y,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
4,17,2026,2026-03-31,"Benralizumab versus placebo for hypereosinophilic syndrome: a randomized, placebo-controlled phase 3 trial",Article,https://www.nature.com/articles/s41591-026-04315-8,yes,matched_token:randomized,eligible,
4,18,2026,2026-03-30,Quemliclustat and chemotherapy with or without zimberelimab in metastatic pancreatic adenocarcinoma: a randomized phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04283-z,yes,matched_token:randomized,eligible,
4,19,2026,2026-03-30,"Global, regional and national burden of ischemic heart disease attributable to suboptimal diet, 1990–2023: a Global Burden of Disease study",Article,https://www.nature.com/articles/s41591-026-04250-8,no,matched_token:morbidity,excluded,no_publisher_open_access_marker
4,20,2026,2026-03-30,Deleterious coding variation associated with autism is shared across ancestries,Article,https://www.nature.com/articles/s41591-026-04228-6,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
5,1,2026,2026-03-30,The NPR1 agonist antibody XXB750 in heart failure: a phase 2 randomized trial,Article,https://www.nature.com/articles/s41591-026-04313-w,yes,matched_token:phase 2,eligible,
5,2,2026,2026-03-28,DASH-patterned groceries and effects on blood pressure in adults treated for hypertension: the GoFreshRx randomized trial,Article,https://www.nature.com/articles/s41591-026-04319-4,no,matched_token:adults,excluded,no_publisher_open_access_marker
5,3,2026,2026-03-27,Time-restricted eating for body weight management in women with polycystic ovary syndrome: a randomized controlled trial,Article,https://www.nature.com/articles/s41591-026-04316-7,no,matched_token:randomized,excluded,no_publisher_open_access_marker
5,4,2026,2026-03-27,Gotistobart or docetaxel in metastatic squamous non-small cell lung cancer: stage 1 of the randomized phase 3 PRESERVE-003 trial,Article,https://www.nature.com/articles/s41591-026-04323-8,yes,matched_token:randomized,eligible,
5,5,2026,2026-03-25,In vivo generation of anti-BCMA CAR-T cells in relapsed or refractory multiple myeloma: a phase 1 study,Article,https://www.nature.com/articles/s41591-026-04244-6,no,matched_token:phase 1,excluded,no_publisher_open_access_marker
5,6,2026,2026-03-25,Pembrolizumab and olaparib in homologous-recombination-deficient metastatic pancreatic cancer: the phase 2 POLAR trial,Article,https://www.nature.com/articles/s41591-026-04299-5,yes,matched_token:phase 2,eligible,
5,7,2026,2026-03-24,LRRK2 -targeting antisense oligonucleotide in Parkinson’s disease: a phase 1 randomized controlled trial,Article,https://www.nature.com/articles/s41591-026-04262-4,no,matched_token:phase 1,excluded,no_publisher_open_access_marker
5,8,2026,2026-03-24,AI-based chest X-ray prioritization in the lung cancer diagnostic pathway: the LungIMPACT randomized controlled trial,Article,https://www.nature.com/articles/s41591-026-04253-5,yes,matched_token:randomized,eligible,
5,9,2026,2026-03-24,Transmission dynamics of Oropouche virus in Latin America and the Caribbean,Article,https://www.nature.com/articles/s41591-026-04221-z,no,no_predeclared_human_clinical_evidence_token,excluded,no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
5,10,2026,2026-03-24,Enhanced dynamic risk stratification of smoldering multiple myeloma,Article,https://www.nature.com/articles/s41591-026-04304-x,yes,matched_token:patients,eligible,
5,11,2026,2026-03-23,"Diet–microbiome associations in 10,068 individuals from the Human Phenotype Project to guide personalized nutrition",Article,https://www.nature.com/articles/s41591-026-04312-x,no,matched_token:participants,excluded,no_publisher_open_access_marker
5,12,2026,2026-03-23,Implementation of the NHS England Lung Cancer Screening Programme over 5 years,Article,https://www.nature.com/articles/s41591-026-04292-y,yes,matched_token:screening,eligible,
5,13,2026,2026-03-20,Remote monitoring of heart failure exacerbations using a smartwatch,Article,https://www.nature.com/articles/s41591-026-04247-3,yes,matched_token:healthcare,eligible,
5,14,2026,2026-03-20,Real-world clinical utility of tumor whole-genome sequencing in solid cancers,Article,https://www.nature.com/articles/s41591-026-04280-2,yes,matched_token:real-world,eligible,
5,15,2026,2026-03-19,Glucagon-like peptide-1 receptor agonists for major cardiovascular and kidney outcomes in type 1 diabetes,Brief Communication,https://www.nature.com/articles/s41591-026-04274-0,yes,matched_token:outcomes,excluded,not_article_type
5,16,2026,2026-03-19,Socioeconomic and energy transition disparities in air pollution-related mortality across Europe,Article,https://www.nature.com/articles/s41591-026-04293-x,no,matched_token:mortality,excluded,no_publisher_open_access_marker
5,17,2026,2026-03-19,"AI-based triage and decision support in mammography and digital tomosynthesis for breast cancer screening: a paired, noninferiority trial",Article,https://www.nature.com/articles/s41591-026-04277-x,yes,matched_token:screening,eligible,
5,18,2026,2026-03-19,Liquid biopsy for the diagnosis of EBV-positive Burkitt’s lymphoma in endemic areas,Article,https://www.nature.com/articles/s41591-026-04291-z,yes,matched_token:clinical,eligible,
5,19,2026,2026-03-19,Long-term risk of death after tuberculosis diagnosis and treatment,Article,https://www.nature.com/articles/s41591-026-04294-w,yes,matched_token:treatment,eligible,
5,20,2026,2026-03-18,An atlas of exposome–phenome associations in health and disease risk,Article,https://www.nature.com/articles/s41591-026-04266-0,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
6,1,2026,2026-03-17,Mass azithromycin distribution and antibiotic resistance in the gut and nasopharynx: a cluster-randomized trial,Article,https://www.nature.com/articles/s41591-026-04217-9,yes,matched_token:randomized,eligible,
6,2,2026,2026-03-16,First-line zolbetuximab plus mFOLFOX6 and nivolumab in unresectable CLDN18.2-positive gastric or gastroesophageal junction adenocarcinoma: a phase 2 trial,Article,https://www.nature.com/articles/s41591-026-04306-9,yes,matched_token:phase 2,eligible,
6,3,2026,2026-03-12,A structure-based mRNA vaccine for Nipah virus in healthy adults: a phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04265-1,yes,matched_token:vaccine,eligible,
6,4,2026,2026-03-12,A cognitive layer architecture to support large-language model performance in psychotherapy interactions,Article,https://www.nature.com/articles/s41591-026-04278-w,no,matched_token:real-world,excluded,no_publisher_open_access_marker
6,5,2026,2026-03-11,Blood phosphorylated tau elevation as a biomarker in immunoglobulin light chain and transthyretin amyloidosis,Brief Communication,https://www.nature.com/articles/s41591-026-04272-2,yes,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_predeclared_human_clinical_evidence_token
6,6,2026,2026-03-11,"Antibiotic use and gut microbiome composition links from individual-level prescription data of 14,979 individuals",Article,https://www.nature.com/articles/s41591-026-04284-y,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
6,7,2026,2026-03-09,Effects of daily multivitamin–multimineral and cocoa extract supplementation on epigenetic aging clocks in the COSMOS randomized clinical trial,Article,https://www.nature.com/articles/s41591-026-04239-3,no,matched_token:randomized,excluded,no_publisher_open_access_marker
6,8,2026,2026-03-09,Physical activity for public health in the 21st century,Article,https://www.nature.com/articles/s41591-026-04237-5,yes,matched_token:public health,eligible,
6,9,2026,2026-03-05,The TREM2 agonistic antibody AL002 in early Alzheimer’s disease: a phase 2 randomized trial,Article,https://www.nature.com/articles/s41591-026-04273-1,no,matched_token:phase 2,excluded,no_publisher_open_access_marker
6,10,2026,2026-03-04,Long-term efficacy and safety of the single-dose tetravalent Butantan dengue vaccine,Article,https://www.nature.com/articles/s41591-026-04255-3,no,matched_token:vaccine,excluded,no_publisher_open_access_marker
6,11,2026,2026-03-03,In vivo base editing gene therapy for heterozygous familial hypercholesterolemia: a phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04254-4,no,matched_token:therapy,excluded,no_publisher_open_access_marker
6,12,2026,2026-03-03,Evaluation of antimicrobial resistance governance across 193 countries to inform the 2026 Global Action Plan update,Article,https://www.nature.com/articles/s41591-026-04257-1,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
6,13,2026,2026-03-03,LLM-assisted systematic review of large language models in clinical medicine,Analysis,https://www.nature.com/articles/s41591-026-04229-5,yes,excluded_article_type_title,excluded,not_article_type;excluded_article_type_title;excluded_title
6,14,2026,2026-03-02,Bimagrumab plus semaglutide alone or in combination for the treatment of obesity: a randomized phase 2 trial,Article,https://www.nature.com/articles/s41591-026-04204-0,yes,matched_token:treatment,eligible,
6,15,2026,2026-02-28,A small-molecule inverse agonist of PPARγ for advanced solid tumors: a phase 1 trial,Article,https://www.nature.com/articles/s41591-026-04263-3,yes,matched_token:phase 1,eligible,
6,16,2026,2026-02-27,Ipilimumab and nivolumab followed by chemoradiotherapy as bladder-sparing treatment in muscle-invasive bladder cancer: a phase 2 trial,Article,https://www.nature.com/articles/s41591-026-04271-3,no,matched_token:treatment,excluded,no_publisher_open_access_marker
6,17,2026,2026-02-27,Obicetrapib in patients with heterozygous familial hypercholesterolemia: the BROOKLYN randomized clinical trial,Article,https://www.nature.com/articles/s41591-025-04179-4,no,matched_token:patients,excluded,no_publisher_open_access_marker
6,18,2026,2026-02-23,Genetic regulation across germline and somatic variation on the Y chromosome contributes to type 2 diabetes,Article,https://www.nature.com/articles/s41591-026-04213-z,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
6,19,2026,2026-02-23,ChatGPT Health performance in a structured test of triage recommendations,Brief Communication,https://www.nature.com/articles/s41591-026-04297-7,yes,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_predeclared_human_clinical_evidence_token
6,20,2026,2026-02-20,Colonoscopy and fecal immunochemical testing versus usual care in diagnostic colorectal cancer screening: the SCREESCO randomized controlled trial,Article,https://www.nature.com/articles/s41591-026-04225-9,yes,matched_token:screening,eligible,
7,1,2026,2026-02-19,Predicting onset of symptomatic Alzheimerʼs disease with plasma p-tau217 clocks,Article,https://www.nature.com/articles/s41591-026-04206-y,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
7,2,2026,2026-02-19,Bispecific T cell engagers for treatment-refractory autoimmune connective tissue diseases,Article,https://www.nature.com/articles/s41591-026-04238-4,yes,matched_token:treatment,eligible,
7,3,2026,2026-02-18,"Deciphering the etiology of the 2024 outbreak of undiagnosed febrile illness in Panzi, Democratic Republic of the Congo",Article,https://www.nature.com/articles/s41591-026-04235-7,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
7,4,2026,2026-02-17,Effects of a comprehensive antibiotic stewardship program on antibiotic prescribing for acute respiratory infections in rural facilities: a cluster randomized trial,Article,https://www.nature.com/articles/s41591-026-04222-y,no,matched_token:randomized,excluded,no_publisher_open_access_marker
7,5,2026,2026-02-16,A short-acting psychedelic intervention for major depressive disorder: a phase IIa randomized placebo-controlled trial,Article,https://www.nature.com/articles/s41591-025-04154-z,yes,matched_token:randomized,eligible,
7,6,2026,2026-02-16,A quantitative DOPA decarboxylase biomarker for diagnosis in Lewy body disorders,Article,https://www.nature.com/articles/s41591-026-04212-0,yes,matched_token:clinical,eligible,
7,7,2026,2026-02-12,Innate antiviral and immune functions associated with the HIV reservoir decay after anti-PD-1 therapy,Article,https://www.nature.com/articles/s41591-025-04139-y,yes,matched_token:therapy,eligible,
7,8,2026,2026-02-12,Lay community health worker-led care with mobile decision support for uncontrolled hypertension: a cluster-randomized trial,Article,https://www.nature.com/articles/s41591-026-04208-w,no,matched_token:randomized,excluded,no_publisher_open_access_marker
7,9,2026,2026-02-12,Microfluidic automation improves oocyte recovery from follicular fluid of patients undergoing in vitro fertilization,Article,https://www.nature.com/articles/s41591-026-04207-x,yes,matched_token:patients,eligible,
7,10,2026,2026-02-09,Extracorporeal liver cross-circulation using transgenic xenogeneic pig livers with brain-dead human decedents,Article,https://www.nature.com/articles/s41591-025-04196-3,no,no_predeclared_human_clinical_evidence_token,excluded,no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
