aggregate_id,paper_id,instrument,dimension,aggregation_set_id,rubric_version,n_ratings,n_distinct_judges,n_human_judges,n_ai_judges,n_ai_models,n_ai_replicates,mean,median,sd,min,max,aggregation_policy,adjudicated_value,adjudication_status,notes
agg_pilot_seed_codex_only:A0002:causal_abstraction:intervention_relevance,A0002,causal_abstraction,intervention_relevance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:causal_abstraction:invariance,A0002,causal_abstraction,invariance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:causal_abstraction:measurement_model,A0002,causal_abstraction,measurement_model,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:causal_abstraction:mechanism,A0002,causal_abstraction,mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:causal_abstraction:rival_explanations,A0002,causal_abstraction,rival_explanations,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:causal_abstraction:severe_test,A0002,causal_abstraction,severe_test,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:causal_abstraction:total,A0002,causal_abstraction,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,17,17,,17,17,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:statistical_inductivist_dependence:flexible_pipeline,A0002,statistical_inductivist_dependence,flexible_pipeline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:statistical_inductivist_dependence:high_dimensional_search,A0002,statistical_inductivist_dependence,high_dimensional_search,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:statistical_inductivist_dependence:limited_intervention,A0002,statistical_inductivist_dependence,limited_intervention,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:statistical_inductivist_dependence:local_validation,A0002,statistical_inductivist_dependence,local_validation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:statistical_inductivist_dependence:prediction_dependence,A0002,statistical_inductivist_dependence,prediction_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:statistical_inductivist_dependence:significance_dependence,A0002,statistical_inductivist_dependence,significance_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:statistical_inductivist_dependence:total,A0002,statistical_inductivist_dependence,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0002:statistical_inductivist_dependence:weak_mechanism,A0002,statistical_inductivist_dependence,weak_mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:abstraction_discipline,A0003,causal_abstraction,abstraction_discipline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:causal_relation,A0003,causal_abstraction,causal_relation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:entity_specification,A0003,causal_abstraction,entity_specification,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:intervention_relevance,A0003,causal_abstraction,intervention_relevance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:invariance,A0003,causal_abstraction,invariance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:measurement_model,A0003,causal_abstraction,measurement_model,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:mechanism,A0003,causal_abstraction,mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:rival_explanations,A0003,causal_abstraction,rival_explanations,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:severe_test,A0003,causal_abstraction,severe_test,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:causal_abstraction:total,A0003,causal_abstraction,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,14,14,,14,14,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:statistical_inductivist_dependence:flexible_pipeline,A0003,statistical_inductivist_dependence,flexible_pipeline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:statistical_inductivist_dependence:high_dimensional_search,A0003,statistical_inductivist_dependence,high_dimensional_search,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:statistical_inductivist_dependence:limited_intervention,A0003,statistical_inductivist_dependence,limited_intervention,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:statistical_inductivist_dependence:local_validation,A0003,statistical_inductivist_dependence,local_validation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:statistical_inductivist_dependence:prediction_dependence,A0003,statistical_inductivist_dependence,prediction_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:statistical_inductivist_dependence:significance_dependence,A0003,statistical_inductivist_dependence,significance_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:statistical_inductivist_dependence:total,A0003,statistical_inductivist_dependence,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0003:statistical_inductivist_dependence:weak_mechanism,A0003,statistical_inductivist_dependence,weak_mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:abstraction_discipline,A0004,causal_abstraction,abstraction_discipline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:causal_relation,A0004,causal_abstraction,causal_relation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:entity_specification,A0004,causal_abstraction,entity_specification,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:intervention_relevance,A0004,causal_abstraction,intervention_relevance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:invariance,A0004,causal_abstraction,invariance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:measurement_model,A0004,causal_abstraction,measurement_model,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:mechanism,A0004,causal_abstraction,mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:rival_explanations,A0004,causal_abstraction,rival_explanations,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:severe_test,A0004,causal_abstraction,severe_test,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:causal_abstraction:total,A0004,causal_abstraction,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,14,14,,14,14,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:statistical_inductivist_dependence:flexible_pipeline,A0004,statistical_inductivist_dependence,flexible_pipeline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:statistical_inductivist_dependence:high_dimensional_search,A0004,statistical_inductivist_dependence,high_dimensional_search,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:statistical_inductivist_dependence:limited_intervention,A0004,statistical_inductivist_dependence,limited_intervention,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:statistical_inductivist_dependence:local_validation,A0004,statistical_inductivist_dependence,local_validation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:statistical_inductivist_dependence:prediction_dependence,A0004,statistical_inductivist_dependence,prediction_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:statistical_inductivist_dependence:significance_dependence,A0004,statistical_inductivist_dependence,significance_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:statistical_inductivist_dependence:total,A0004,statistical_inductivist_dependence,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:A0004:statistical_inductivist_dependence:weak_mechanism,A0004,statistical_inductivist_dependence,weak_mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:abstraction_discipline,B0001,causal_abstraction,abstraction_discipline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:causal_relation,B0001,causal_abstraction,causal_relation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:entity_specification,B0001,causal_abstraction,entity_specification,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:intervention_relevance,B0001,causal_abstraction,intervention_relevance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:invariance,B0001,causal_abstraction,invariance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:measurement_model,B0001,causal_abstraction,measurement_model,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:mechanism,B0001,causal_abstraction,mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:rival_explanations,B0001,causal_abstraction,rival_explanations,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:severe_test,B0001,causal_abstraction,severe_test,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:causal_abstraction:total,B0001,causal_abstraction,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,8,8,,8,8,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:statistical_inductivist_dependence:flexible_pipeline,B0001,statistical_inductivist_dependence,flexible_pipeline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:statistical_inductivist_dependence:high_dimensional_search,B0001,statistical_inductivist_dependence,high_dimensional_search,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:statistical_inductivist_dependence:limited_intervention,B0001,statistical_inductivist_dependence,limited_intervention,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:statistical_inductivist_dependence:local_validation,B0001,statistical_inductivist_dependence,local_validation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:statistical_inductivist_dependence:prediction_dependence,B0001,statistical_inductivist_dependence,prediction_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:statistical_inductivist_dependence:significance_dependence,B0001,statistical_inductivist_dependence,significance_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:statistical_inductivist_dependence:total,B0001,statistical_inductivist_dependence,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0001:statistical_inductivist_dependence:weak_mechanism,B0001,statistical_inductivist_dependence,weak_mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:abstraction_discipline,B0002,causal_abstraction,abstraction_discipline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:causal_relation,B0002,causal_abstraction,causal_relation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:entity_specification,B0002,causal_abstraction,entity_specification,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:intervention_relevance,B0002,causal_abstraction,intervention_relevance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:invariance,B0002,causal_abstraction,invariance,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:measurement_model,B0002,causal_abstraction,measurement_model,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:mechanism,B0002,causal_abstraction,mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:rival_explanations,B0002,causal_abstraction,rival_explanations,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,1,1,,1,1,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:severe_test,B0002,causal_abstraction,severe_test,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:causal_abstraction:total,B0002,causal_abstraction,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,16,16,,16,16,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:statistical_inductivist_dependence:flexible_pipeline,B0002,statistical_inductivist_dependence,flexible_pipeline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:statistical_inductivist_dependence:high_dimensional_search,B0002,statistical_inductivist_dependence,high_dimensional_search,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:statistical_inductivist_dependence:limited_intervention,B0002,statistical_inductivist_dependence,limited_intervention,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:statistical_inductivist_dependence:local_validation,B0002,statistical_inductivist_dependence,local_validation,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:statistical_inductivist_dependence:prediction_dependence,B0002,statistical_inductivist_dependence,prediction_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:statistical_inductivist_dependence:significance_dependence,B0002,statistical_inductivist_dependence,significance_dependence,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:statistical_inductivist_dependence:total,B0002,statistical_inductivist_dependence,total,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0002:statistical_inductivist_dependence:weak_mechanism,B0002,statistical_inductivist_dependence,weak_mechanism,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,0,0,,0,0,pooled_mean,,not_adjudicated,Diagnostic only.
agg_pilot_seed_codex_only:B0003:causal_abstraction:abstraction_discipline,B0003,causal_abstraction,abstraction_discipline,agg_pilot_seed_codex_only,v0.1-pilot,1,1,0,1,1,1,2,2,,2,2,pooled_mean,,not_adjudicated,Diagnostic only.
